City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,1,AR,79.83,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
2,2,KI,80.58,few clouds,3.0707,172.7902,Isles Sunset Lodge
5,5,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
8,8,NC,75.74,overcast clouds,-20.2333,164.0167,
9,9,BR,82.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
12,12,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
14,14,LK,78.71,moderate rain,7.7102,81.6924,Grand Star Guest House
17,17,ES,76.86,overcast clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
19,19,PH,76.64,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
21,21,HK,75.33,overcast clouds,22.2855,114.1577,Mini Central
22,22,PF,76.51,clear sky,-9.8,-139.0333,Villa Enata
24,24,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
27,27,BF,88.68,few clouds,12.6497,0.4931,
30,30,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
35,35,US,82.08,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
42,42,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,45,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
48,48,KE,87.48,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
50,50,US,89.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
51,51,GF,84.2,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
56,56,MY,78.49,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
59,59,TG,80.64,few clouds,8.5667,0.9833,Auberge Médina
61,61,BR,79.16,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
64,64,ID,79.16,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
65,65,SO,78.01,overcast clouds,2.0371,45.3438,Hotel Juba
66,66,ZM,81.34,overcast clouds,-15.7504,26.4384,Corner Point Lodge
67,67,CU,85.01,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
73,73,US,77.36,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
80,80,CO,87.73,scattered clouds,1.1983,-70.1733,
81,81,CO,79.72,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
85,85,AU,81.05,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
86,86,MR,80.65,clear sky,20.5169,-13.0499,Oumou Elghoura
93,93,NE,84.67,broken clouds,14.9709,8.8879,
96,96,US,86.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,97,TH,83.12,scattered clouds,8.0,98.25,The Surin
98,98,VU,80.01,broken clouds,-13.8833,167.55,Leumerus Bungalows
103,103,MV,81.37,overcast clouds,-0.6,73.0833,Scoop Guest House
105,105,CV,77.59,few clouds,14.8961,-24.4956,Hotel Xaguate
107,107,BR,79.03,overcast clouds,-23.2325,-51.6656,Rancho Jads
110,110,CO,87.89,broken clouds,2.1837,-73.7849,Casa Hotel Real
112,112,BR,83.59,few clouds,-2.8856,-40.12,castelo pizzaria
113,113,MX,80.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
115,115,CO,86.56,scattered clouds,1.0333,-75.9191,CASA CLUB
116,116,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
118,118,LK,77.34,heavy intensity rain,6.1241,81.1185,Bungalow 63
129,129,NI,85.89,scattered clouds,13.6268,-85.8254,Hostal Gladys
130,130,LR,76.75,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
135,135,BR,81.25,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
154,154,GP,84.15,clear sky,15.8835,-61.3148,Coco Beach Resort
156,156,MY,77.97,overcast clouds,3.1667,113.0333,900 Boutique INN
157,157,ZM,75.25,few clouds,-15.2484,23.1274,Country Lodge Mongu
166,166,VN,75.51,overcast clouds,10.9333,108.1,Hotel Saigon-PT
175,175,PR,87.22,few clouds,18.0866,-67.1457,Hotel Perichi's
179,179,WS,83.98,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
182,182,GT,84.6,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
194,194,AU,76.91,overcast clouds,-12.497,131.047,buffalo beach hostel
195,195,PF,78.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
196,196,IN,84.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
197,197,AR,78.8,light rain,-34.6534,-58.6198,Hotel Morón
198,198,BO,89.69,overcast clouds,-17.9919,-63.3824,Alojamiento los olivos
205,205,IN,75.09,few clouds,16.7,76.8333,Basava Gobi
206,206,NE,79.38,clear sky,18.6853,12.9164,Expeditions Ténére voyages
208,208,PE,75.09,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
221,221,BR,80.1,clear sky,-10.6578,-37.3047,Chácara Três Irmãs
224,224,BR,82.2,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
227,227,ID,75.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
230,230,CL,80.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
232,232,TZ,81.28,overcast clouds,-5.0667,32.05,Fair Lodge
236,236,IR,77.38,clear sky,27.2025,60.6848,نیک سرشت
237,237,ID,81.09,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
242,242,IN,75.47,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
245,245,ID,78.04,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
246,246,GD,83.37,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
248,248,PF,78.89,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
250,250,ID,80.08,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
251,251,ID,79.92,light rain,-6.8844,112.2051,DoubleFAG
257,257,PG,80.46,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,264,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
265,265,BO,76.82,broken clouds,-20.4167,-63.2833,Residencial Eluzai
270,270,US,88.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
271,271,PK,79.38,clear sky,24.1447,67.4497,Haji laloo memon house
274,274,BR,78.66,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
281,281,MX,88.38,scattered clouds,19.9333,-105.25,El Salvial
283,283,TC,82.99,few clouds,21.4612,-71.1419,Osprey Beach Hotel
284,284,IN,81.36,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
285,285,HN,84.25,light rain,15.8,-84.2833,
287,287,MX,81.27,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
