,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nelson Bay,AU,-32.7167,152.15,70.0,92,100,4.0,moderate rain
1,Vaini,TO,-21.2,-175.2,74.26,80,71,22.03,light rain
2,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,75,2.3,broken clouds
3,Pochutla,MX,15.7432,-96.4661,76.82,92,100,3.74,overcast clouds
4,Atuona,PF,-9.8,-139.0333,77.14,68,4,16.73,clear sky
5,Santa Fe,AR,-31.6333,-60.7,64.02,91,33,4.0,light rain
6,Kichmengskiy Gorodok,RU,59.9816,45.7854,33.64,79,100,10.8,overcast clouds
7,Krasnoselkup,RU,65.7,82.4667,36.43,95,100,14.61,overcast clouds
8,Avera,US,33.194,-82.5271,40.91,40,2,6.11,clear sky
9,Victoria,HK,22.2855,114.1577,86.97,63,35,5.99,scattered clouds
10,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,49,9.31,light rain
11,Punta Arenas,CL,-53.15,-70.9167,39.31,75,75,17.27,broken clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,66.54,92,98,4.0,overcast clouds
13,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,61.43,85,0,4.76,clear sky
14,Dong Hoi,VN,17.4833,106.6,73.65,84,99,14.85,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,42.46,45,0,2.3,clear sky
16,Rikitea,PF,-23.1203,-134.9692,71.1,70,99,19.44,overcast clouds
17,Hilo,US,19.7297,-155.09,80.33,80,40,11.5,scattered clouds
18,Hermanus,ZA,-34.4187,19.2345,52.81,87,26,7.31,scattered clouds
19,Qaanaaq,GL,77.484,-69.3632,-2.13,69,0,10.33,clear sky
20,Carnarvon,AU,-24.8667,113.6333,71.74,55,1,11.95,clear sky
21,Busselton,AU,-33.65,115.3333,63.3,60,98,10.78,overcast clouds
22,Beringovskiy,RU,63.05,179.3167,35.83,82,83,9.22,broken clouds
23,Cabedelo,BR,-6.9811,-34.8339,76.59,69,10,14.7,clear sky
24,Neiafu,TO,-18.65,-173.9833,79.48,89,75,0.0,light intensity shower rain
25,Kodiak,US,57.79,-152.4072,45.91,57,0,5.75,clear sky
26,Port Macquarie,AU,-31.4333,152.9167,70.21,91,86,19.01,moderate rain
27,Cape Town,ZA,-33.9258,18.4232,64.38,79,20,8.05,few clouds
28,Saint George,US,37.1041,-113.5841,67.24,27,0,4.61,clear sky
29,Karachi,PK,24.9056,67.0822,76.82,88,0,5.75,mist
30,Torbay,CA,47.6666,-52.7314,62.76,97,100,12.66,light intensity shower rain
31,San Antonio Ilotenango,GT,15.0547,-91.2297,61.25,99,100,1.95,overcast clouds
32,Jamestown,US,42.097,-79.2353,40.71,81,0,6.91,clear sky
33,Albany,US,42.6001,-73.9662,39.45,77,98,3.36,overcast clouds
34,Atar,MR,20.5169,-13.0499,84.31,16,59,5.55,broken clouds
35,Airai,TL,-8.9266,125.4092,77.58,52,45,2.06,scattered clouds
36,Takapau,NZ,-40.0333,176.35,50.74,60,100,7.2,overcast clouds
37,Camiri,BO,-20.05,-63.5167,66.47,76,100,2.68,overcast clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,72.64,87,4,30.29,clear sky
39,Cabo San Lucas,MX,22.8909,-109.9124,80.62,79,9,1.99,clear sky
40,Bluff,NZ,-46.6,168.3333,49.89,54,80,11.34,broken clouds
41,Barzas,RU,55.7167,86.3167,39.24,90,89,7.56,overcast clouds
42,Guerrero Negro,MX,27.9769,-114.0611,71.22,82,0,9.62,clear sky
43,Belaya Gora,RU,68.5333,146.4167,14.61,90,100,12.71,overcast clouds
44,Sao Filipe,CV,14.8961,-24.4956,77.13,82,8,5.06,clear sky
45,Hasaki,JP,35.7333,140.8333,73.22,53,2,15.21,clear sky
46,Salisbury,GB,51.0693,-1.7957,61.02,95,100,11.5,overcast clouds
47,Ahuimanu,US,21.4447,-157.8378,80.31,76,40,10.36,scattered clouds
48,Bredasdorp,ZA,-34.5322,20.0403,54.36,89,54,3.65,broken clouds
49,Pevek,RU,69.7008,170.3133,20.37,95,99,3.53,overcast clouds
50,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,10.36,overcast clouds
51,Zheleznodorozhnyy,RU,55.7503,38.0042,36.36,76,66,4.76,broken clouds
52,Verin,ES,41.9415,-7.4381,57.56,92,100,4.25,overcast clouds
53,Kruisfontein,ZA,-34.0033,24.7314,56.7,82,95,3.27,overcast clouds
54,Rassvet,RU,46.8333,40.75,44.47,78,100,21.88,overcast clouds
55,Pisco,PE,-13.7,-76.2167,58.01,82,11,2.3,mist
56,Iesolo,IT,45.5331,12.6448,61.25,79,97,4.16,overcast clouds
57,Chokurdakh,RU,70.6333,147.9167,16.34,94,100,18.19,light snow
58,Nicolas Bravo,MX,18.45,-88.9167,70.02,97,88,4.36,overcast clouds
59,Mataura,NZ,-46.1927,168.8643,53.67,40,84,6.85,broken clouds
60,Butaritari,KI,3.0707,172.7902,81.3,74,20,9.24,few clouds
61,Bairiki,KI,1.3292,172.9752,84.2,65,20,6.91,few clouds
62,Khatanga,RU,71.9667,102.5,10.24,92,46,3.83,scattered clouds
63,Esil,KZ,51.9556,66.4042,49.12,47,99,13.96,overcast clouds
64,Camacha,PT,33.0833,-16.3333,67.42,94,20,5.75,few clouds
65,Esperance,AU,-33.8667,121.9,66.04,87,99,4.54,overcast clouds
66,Hobart,AU,-42.8794,147.3294,77.25,60,75,17.27,broken clouds
67,Tautira,PF,-17.7333,-149.15,77.31,80,55,18.16,light rain
68,Aklavik,CA,68.2191,-135.0107,17.58,98,100,1.68,overcast clouds
69,Cherskiy,RU,68.75,161.3,10.87,94,75,5.73,broken clouds
70,Mackay,AU,-21.15,149.2,78.67,81,100,4.43,light rain
