City_ID,City.1,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nelson Bay,AU,70.0,moderate rain,-32.7167,152.15,Mantra Nelson Bay
1,Vaini,TO,74.26,light rain,-21.2,-175.2,Keleti Beach Resort
3,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
4,Atuona,PF,77.14,clear sky,-9.8,-139.0333,Villa Enata
9,Victoria,HK,86.97,scattered clouds,22.2855,114.1577,Mini Central
10,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le four à pain
14,Dong Hoi,VN,73.65,overcast clouds,17.4833,106.6,Nam Long Hotel
16,Rikitea,PF,71.1,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
20,Carnarvon,AU,71.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
23,Cabedelo,BR,76.59,clear sky,-6.9811,-34.8339,Pousada Camboinha
24,Neiafu,TO,79.48,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
26,Port Macquarie,AU,70.21,moderate rain,-31.4333,152.9167,Rydges Port Macquarie
29,Karachi,PK,76.82,mist,24.9056,67.0822,Sadaat
34,Atar,MR,84.31,broken clouds,20.5169,-13.0499,Oumou Elghoura
38,Arraial Do Cabo,BR,72.64,clear sky,-22.9661,-42.0278,Pousada Porto Praia
39,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
42,Guerrero Negro,MX,71.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
44,Sao Filipe,CV,77.13,clear sky,14.8961,-24.4956,Hotel Xaguate
45,Hasaki,JP,73.22,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
47,Ahuimanu,US,80.31,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
60,Butaritari,KI,81.3,few clouds,3.0707,172.7902,Isles Sunset Lodge
61,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
66,Hobart,AU,77.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
67,Tautira,PF,77.31,light rain,-17.7333,-149.15,Pension Oaoa
70,Mackay,AU,78.67,light rain,-21.15,149.2,International Lodge Motel
71,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Sibolga,ID,77.83,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
76,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
78,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
84,Da Nang,VN,85.98,scattered clouds,16.0678,108.2208,Grand Mercure Danang
97,Mount Isa,AU,89.98,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
103,Omboue,GA,74.88,broken clouds,-1.5746,9.2618,Hotel Olako
104,Dhidhdhoo,MV,81.23,heavy intensity rain,6.8833,73.1,Dhidhoo beach
114,Siparia,TT,75.81,scattered clouds,10.1333,-61.5,Brook Gardens
116,New Norfolk,AU,76.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
124,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
125,San Patricio,US,73.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
130,Rawah,IQ,72.64,scattered clouds,34.4816,41.9093,عمر
