City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.5167,-28.7,62.78,84,36,3.0,PT,2022-10-17 02:16:22
1,Cururupu,-1.8283,-44.8683,76.86,84,4,4.85,BR,2022-10-17 02:18:00
2,Ushuaia,-54.8,-68.3,44.26,57,0,2.3,AR,2022-10-17 02:11:29
3,New Norfolk,-42.7826,147.0587,58.91,52,97,3.0,AU,2022-10-17 02:12:25
4,Rikitea,-23.1203,-134.9692,68.74,63,1,17.11,PF,2022-10-17 02:12:32
5,Cape Town,-33.9258,18.4232,63.12,92,75,14.97,ZA,2022-10-17 02:09:42
6,Bondo,3.8146,23.6866,66.43,98,94,0.92,CD,2022-10-17 02:18:01
7,Gamba,-2.65,10.0,74.93,92,92,3.74,GA,2022-10-17 02:17:40
8,General Roca,-39.0333,-67.5833,62.62,42,100,21.74,AR,2022-10-17 02:17:27
9,Kapaa,22.0752,-159.319,84.18,67,0,10.36,US,2022-10-17 02:11:33
10,Cabo San Lucas,22.8909,-109.9124,81.61,64,40,11.5,MX,2022-10-17 02:12:20
11,Bredasdorp,-34.5322,20.0403,60.31,89,55,6.29,ZA,2022-10-17 02:15:06
12,De Aar,-30.6497,24.0123,64.15,57,100,6.11,ZA,2022-10-17 02:18:01
13,Bethel,41.3712,-73.414,54.63,87,0,0.0,US,2022-10-17 02:12:28
14,Hermanus,-34.4187,19.2345,59.81,89,0,10.58,ZA,2022-10-17 02:13:44
15,Mataura,-46.1927,168.8643,56.48,51,100,4.29,NZ,2022-10-17 02:16:27
16,East London,-33.0153,27.9116,66.83,87,100,13.47,ZA,2022-10-17 02:12:30
17,Basco,20.4487,121.9702,81.79,88,82,13.65,PH,2022-10-17 02:18:02
18,Punta Arenas,-53.15,-70.9167,46.51,71,0,14.97,CL,2022-10-17 02:09:07
19,Bluff,-46.6,168.3333,56.8,72,100,14.52,NZ,2022-10-17 02:13:41
20,San Patricio,28.017,-97.5169,83.84,63,69,9.48,US,2022-10-17 02:15:04
21,General Pico,-35.6566,-63.7568,56.62,37,91,9.22,AR,2022-10-17 02:18:03
22,Catamarca,-28.4696,-65.7852,71.78,50,100,8.01,AR,2022-10-17 02:18:04
23,Butaritari,3.0707,172.7902,81.46,74,16,14.83,KI,2022-10-17 02:16:20
24,Souillac,-20.5167,57.5167,66.58,94,75,11.5,MU,2022-10-17 02:13:37
25,Qaanaaq,77.484,-69.3632,13.53,85,100,3.85,GL,2022-10-17 02:12:31
26,Saint George,37.1041,-113.5841,74.95,29,0,12.66,US,2022-10-17 02:18:04
27,Irsha,55.9269,94.7911,35.47,56,96,3.22,RU,2022-10-17 02:18:05
28,Bandarbeyla,9.4942,50.8122,76.28,85,7,1.7,SO,2022-10-17 02:13:43
29,Saldanha,-33.0117,17.9442,58.75,94,0,8.52,ZA,2022-10-17 02:12:03
30,Laguna,38.421,-121.4238,67.98,68,0,8.05,US,2022-10-17 02:18:05
31,Gouyave,12.1646,-61.7296,79.57,89,20,3.44,GD,2022-10-17 02:18:06
32,Avarua,-21.2078,-159.775,77.05,73,100,10.36,CK,2022-10-17 02:13:42
33,Srednekolymsk,67.45,153.6833,12.83,82,51,2.57,RU,2022-10-17 02:16:33
34,Lebu,-37.6167,-73.65,51.37,90,97,14.23,CL,2022-10-17 02:13:38
35,Meru,0.0463,37.6559,59.74,91,99,2.59,KE,2022-10-17 02:18:07
36,Lavrentiya,65.5833,-171.0,31.93,74,100,24.92,RU,2022-10-17 02:18:07
37,Saskylakh,71.9167,114.0833,17.74,91,78,16.6,RU,2022-10-17 02:12:33
38,Mecca,21.4267,39.8261,79.36,57,0,0.81,SA,2022-10-17 02:18:08
39,Yellowknife,62.456,-114.3525,33.57,80,21,15.01,CA,2022-10-17 02:13:43
40,Brits,-25.6347,27.7802,63.52,63,100,9.37,ZA,2022-10-17 02:18:08
41,Talnakh,69.4865,88.3972,27.21,96,100,8.01,RU,2022-10-17 02:16:32
42,Dakar,14.6937,-17.4441,77.88,73,5,11.5,SN,2022-10-17 02:18:09
43,Narsaq,60.9167,-46.05,32.22,69,48,7.02,GL,2022-10-17 02:18:09
44,Razole,16.4833,81.8333,78.28,89,81,4.61,IN,2022-10-17 02:17:52
45,Somerset West,-34.084,18.8211,62.29,90,0,8.01,ZA,2022-10-17 02:18:10
46,Coquimbo,-29.9533,-71.3436,55.13,94,100,3.44,CL,2022-10-17 02:19:10
47,Hilo,19.7297,-155.09,87.28,80,75,6.91,US,2022-10-17 02:10:42
48,Khatanga,71.9667,102.5,16.16,98,100,6.76,RU,2022-10-17 02:17:35
49,Thunder Bay,48.4001,-89.3168,33.71,80,100,11.5,CA,2022-10-17 02:19:11
50,Bowen,-20.0167,148.2333,80.13,64,54,10.27,AU,2022-10-17 02:19:11
51,Yemelyanovo,56.1681,92.6767,27.41,93,0,0.0,RU,2022-10-17 02:19:12
52,York,40.1254,-77.0,60.39,68,20,0.0,US,2022-10-17 02:19:12
53,Zhigansk,66.7697,123.3711,19.56,92,11,8.93,RU,2022-10-17 02:19:12
54,Mahebourg,-20.4081,57.7,67.24,94,75,11.5,MU,2022-10-17 02:14:50
55,Vestmannaeyjar,63.4427,-20.2734,42.51,62,3,4.07,IS,2022-10-17 02:19:13
56,Qaqortoq,60.7167,-46.0333,29.71,63,17,6.67,GL,2022-10-17 02:19:13
57,Simbahan,6.3032,120.5836,82.94,72,86,3.0,PH,2022-10-17 02:19:14
58,Sestri Levante,44.2732,9.3968,67.91,72,47,5.82,IT,2022-10-17 02:19:14
59,Jamestown,42.097,-79.2353,54.01,62,100,3.44,US,2022-10-17 02:12:21
60,Koslan,63.4564,48.8989,39.7,96,87,6.82,RU,2022-10-17 02:19:15
61,Rio Grande,-32.035,-52.0986,58.89,92,3,4.56,BR,2022-10-17 02:19:15
62,Imbituba,-28.24,-48.6703,65.12,96,65,3.8,BR,2022-10-17 02:19:15
63,Port Elizabeth,-33.918,25.5701,67.1,99,100,1.01,ZA,2022-10-17 02:12:23
64,Hamilton,39.1834,-84.5333,58.86,52,0,9.22,US,2022-10-17 02:15:30
65,Tessalit,20.1986,1.0114,80.83,16,13,10.67,ML,2022-10-17 02:15:02
66,Ilheus,-14.7889,-39.0494,71.42,100,40,5.75,BR,2022-10-17 02:19:16
67,Georgetown,5.4112,100.3354,84.13,74,20,0.0,MY,2022-10-17 02:12:22
